model1,model2,avg_covariance,median_covariance,min_covariance,max_covariance
Claude,Cohere,6739.533069090909,3.114999999999998,-12638.984999999997,290715.19999999995
Claude,Deepseek,6713.36008272727,3.3017499999999944,-12248.354750000024,283619.2730999999
Claude,Doubao,7164.124158181818,4.909999999999999,-8557.439699999994,281997.8699
Claude,GPT,6823.714561181818,4.318614999999999,-4178.2199999999975,283241.99563
Claude,Gemini,6699.643429636364,3.2548749999999966,-12413.928459999992,283241.99563
Claude,Mistral,680.5623608464432,1.0553205819613831,-157162.42143824464,211201.8393803166
Claude,Qwen,-77.70568327272913,0.637435,-22418.654255000118,27046.775415000022
Cohere,Claude,6739.533069090909,3.114999999999998,-12638.984999999997,290715.19999999995
Cohere,Deepseek,11502.291140909088,14.494,0.01524999999999982,441351.4999999999
Cohere,Doubao,11708.791749999999,15.1325,0.025499999999999953,421708.49999999994
Cohere,GPT,10850.42155227273,10.135,-8.507500000000014,439479.70000000007
Cohere,Gemini,11456.97174909091,14.457000000000004,0.015900000000000004,439479.70000000007
Cohere,Mistral,8493.785707070117,7.680243120128555,-72030.54000314098,445308.0573585136
Cohere,Qwen,1819.7276086363647,4.4975,-9581.574999999968,59181.25500000001
Deepseek,Claude,6713.36008272727,3.3017499999999944,-12248.354750000024,283619.2730999999
Deepseek,Cohere,11502.291140909088,14.494,0.01524999999999982,441351.4999999999
Deepseek,Doubao,11672.194018181814,14.9775,0.03599999999999982,415345.30299999984
Deepseek,GPT,10812.801671818183,10.512499999999998,-16.091949999999994,432974.5681000001
Deepseek,Gemini,11416.68187727273,14.321750000000003,0.02304999999999989,432974.5681000001
Deepseek,Mistral,8332.00896951857,8.119577070299979,-75918.77537823495,439126.7051778937
Deepseek,Qwen,1827.904967272729,4.645499999999998,-8746.61084999991,57670.339250000034
Doubao,Claude,7164.124158181818,4.909999999999999,-8557.439699999994,281997.8699
Doubao,Cohere,11708.791749999999,15.1325,0.025499999999999953,421708.49999999994
Doubao,Deepseek,11672.194018181814,14.9775,0.03599999999999982,415345.30299999984
Doubao,GPT,11057.770215454548,13.622,0.03750000000000024,413612.39440000005
Doubao,Gemini,11626.9378,14.938000000000002,0.0363500000000001,413612.39440000005
Doubao,Mistral,7254.586910211287,5.944267430617142,-97190.92272037726,418717.23680354696
Doubao,Qwen,1845.5954736363649,5.208500000000003,-23073.357899999974,56002.34485
GPT,Claude,6823.708961,4.318614999999999,-4178.2199999999975,283241.99563
GPT,Cohere,10850.407570454548,10.135,-8.507500000000014,439479.70000000007
GPT,Deepseek,10812.787186363637,10.512499999999998,-16.091949999999994,432974.5681000001
GPT,Doubao,11057.75659,13.622,0.03750000000000024,413612.39440000005
GPT,Gemini,10770.625360818187,10.453849999999996,-16.155680000000018,431136.2996800002
GPT,Mistral,7523.0797063876935,2.100396268765178,-72584.89815347006,437029.716945619
GPT,Qwen,1256.411790090911,2.5408399999999993,-9401.894904999936,36425.40000000003
Gemini,Claude,6699.643429636364,3.2548749999999966,-12413.928459999992,283241.99563
Gemini,Cohere,11456.97174909091,14.457000000000004,0.015900000000000004,439479.70000000007
Gemini,Deepseek,11416.68187727273,14.321750000000003,0.02304999999999989,432974.5681000001
Gemini,Doubao,11626.9378,14.938000000000002,0.0363500000000001,413612.39440000005
Gemini,GPT,10770.639792454549,10.453849999999996,-16.155680000000018,431136.2996800002
Gemini,Mistral,8287.949798782269,8.05858144823817,-75795.42627018271,437029.716945619
Gemini,Qwen,1807.2545590909103,4.591449999999999,-9401.894904999936,57436.33215499997
Mistral,Claude,680.5623608464432,1.0553205819613831,-157162.42143824464,211201.8393803166
Mistral,Cohere,8493.785707070117,7.680243120128555,-72030.54000314098,445308.0573585136
Mistral,Deepseek,8332.00896951857,8.119577070299979,-75918.77537823495,439126.7051778937
Mistral,Doubao,7254.586910211287,5.944267430617142,-97190.92272037726,418717.23680354696
Mistral,GPT,7523.08718562146,2.6254953359564723,-72584.89815347006,437029.716945619
Mistral,Gemini,8287.949798782269,8.05858144823817,-75795.42627018271,437029.716945619
Mistral,Qwen,265.1422046226851,0.7454294812182657,-51932.35430486781,69490.47688646775
Qwen,Claude,-77.70568327272913,0.637435,-22418.654255000118,27046.775415000022
Qwen,Cohere,1819.7276086363647,4.4975,-9581.574999999968,59181.25500000001
Qwen,Deepseek,1827.904967272729,4.645499999999998,-8746.61084999991,57670.339250000034
Qwen,Doubao,1845.5954736363649,5.208500000000003,-23073.357899999974,56002.34485
Qwen,GPT,1256.4259275454565,3.176049999999999,-9401.894904999936,36425.40000000003
Qwen,Gemini,1807.2545590909103,4.591449999999999,-9401.894904999936,57436.33215499997
Qwen,Mistral,265.1422046226851,0.7454294812182657,-51932.35430486781,69490.47688646775
