country,model1,model2,avg_covariance,median_covariance,min_covariance,max_covariance
EU,Claude,Cohere,3.288056666666668,0.017500000000000064,-19.729,61.05875000000001
EU,Claude,Deepseek,3.3121400000000008,0.08150000000000021,-19.77145,60.95325000000001
EU,Claude,Doubao,4.228466666666668,0.08790000000000031,-20.93635,69.9795
EU,Claude,GPT,3.3425196666666683,0.021750000000000283,-19.764169999999996,61.98200000000001
EU,Claude,Gemini,3.316351666666668,0.08490000000000009,-19.764169999999996,60.69332500000001
EU,Claude,Mistral,-660.4382500530608,-0.2077800470253809,-6678.677460799823,25.493561583393387
EU,Claude,Qwen,4.105661333333334,0.09813000000000027,-18.050819999999995,49.21617500000001
EU,Cohere,Claude,3.288056666666668,0.017500000000000064,-19.729,61.05875000000001
EU,Cohere,Deepseek,16.063316666666665,2.9250000000000003,0.01524999999999982,103.315
EU,Cohere,Doubao,18.258333333333333,3.9000000000000004,0.025499999999999953,112.97
EU,Cohere,GPT,15.227281666666668,0.4473499999999999,0.016875000000000064,102.62900000000002
EU,Cohere,Gemini,15.974986666666668,2.9162500000000002,0.015900000000000004,102.62900000000002
EU,Cohere,Mistral,-702.9942943767159,0.7365251045588327,-7221.517376264887,97.78142406498647
EU,Cohere,Qwen,4.948040000000001,1.6325000000000003,-6.923999999999998,48.5885
EU,Deepseek,Claude,3.3121400000000008,0.08150000000000021,-19.77145,60.95325000000001
EU,Deepseek,Cohere,16.063316666666665,2.9250000000000003,0.01524999999999982,103.315
EU,Deepseek,Doubao,18.292666666666666,5.119999999999999,0.03599999999999982,112.024
EU,Deepseek,GPT,15.244246666666669,0.5112999999999999,0.023749999999999973,101.84155000000003
EU,Deepseek,Gemini,16.020356666666668,3.294250000000001,0.02304999999999989,101.84155000000003
EU,Deepseek,Mistral,-703.419809689354,0.7108117679735217,-7177.569321964902,97.05464394882912
EU,Deepseek,Qwen,5.055070000000001,1.9392500000000008,-5.9656999999999965,48.29045000000001
EU,Doubao,Claude,4.228466666666668,0.08790000000000031,-20.93635,69.9795
EU,Doubao,Cohere,18.258333333333333,3.9000000000000004,0.025499999999999953,112.97
EU,Doubao,Deepseek,18.292666666666666,5.119999999999999,0.03599999999999982,112.024
EU,Doubao,GPT,17.450840000000003,0.6362000000000001,0.03750000000000024,111.2909
EU,Doubao,Gemini,18.198396666666667,5.0375,0.0363500000000001,111.2909
EU,Doubao,Mistral,-910.5815210494621,0.947117077078473,-8502.82697513418,106.17156872062526
EU,Doubao,Qwen,5.898836666666667,2.3835,-5.699099999999998,56.34879999999999
EU,GPT,Claude,3.3425196666666683,0.021750000000000283,-19.764169999999996,61.98200000000001
EU,GPT,Cohere,15.227281666666668,0.4473499999999999,0.016875000000000064,102.62900000000002
EU,GPT,Deepseek,15.244246666666669,0.5112999999999999,0.023749999999999973,101.84155000000003
EU,GPT,Doubao,17.450840000000003,0.6362000000000001,0.03750000000000024,111.2909
EU,GPT,Gemini,15.161356333333334,0.48867000000000005,0.023875000000000167,101.16188000000001
EU,GPT,Mistral,-698.1557219687327,0.16784449415609165,-7305.763404248562,96.42210604028594
EU,GPT,Qwen,4.247161666666667,0.3774499999999992,-5.94252,49.176
EU,Gemini,Claude,3.316351666666668,0.08490000000000009,-19.764169999999996,60.69332500000001
EU,Gemini,Cohere,15.974986666666668,2.9162500000000002,0.015900000000000004,102.62900000000002
EU,Gemini,Deepseek,16.020356666666668,3.294250000000001,0.02304999999999989,101.84155000000003
EU,Gemini,Doubao,18.198396666666667,5.0375,0.0363500000000001,111.2909
EU,Gemini,GPT,15.161356333333334,0.48867000000000005,0.023875000000000167,101.16188000000001
EU,Gemini,Mistral,-702.0281585968785,0.743290163006484,-7150.046895019636,96.42210604028594
EU,Gemini,Qwen,5.022576666666665,1.8954250000000004,-5.94252,48.08312999999998
EU,Mistral,Claude,-660.4382500530608,-0.2077800470253809,-6678.677460799823,25.493561583393387
EU,Mistral,Cohere,-702.9942943767159,0.7365251045588327,-7221.517376264887,97.78142406498647
EU,Mistral,Deepseek,-703.419809689354,0.7108117679735217,-7177.569321964902,97.05464394882912
EU,Mistral,Doubao,-910.5815210494621,0.947117077078473,-8502.82697513418,106.17156872062526
EU,Mistral,GPT,-698.1557219687327,0.16784449415609165,-7305.763404248562,96.42210604028594
EU,Mistral,Gemini,-702.0281585968785,0.743290163006484,-7150.046895019636,96.42210604028594
EU,Mistral,Qwen,-473.20807202973367,0.3461308245902577,-5248.65065245791,29.81373676901263
EU,Qwen,Claude,4.105661333333334,0.09813000000000027,-18.050819999999995,49.21617500000001
EU,Qwen,Cohere,4.948040000000001,1.6325000000000003,-6.923999999999998,48.5885
EU,Qwen,Deepseek,5.055070000000001,1.9392500000000008,-5.9656999999999965,48.29045000000001
EU,Qwen,Doubao,5.898836666666667,2.3835,-5.699099999999998,56.34879999999999
EU,Qwen,GPT,4.247161666666667,0.3774499999999992,-5.94252,49.176
EU,Qwen,Gemini,5.022576666666665,1.8954250000000004,-5.94252,48.08312999999998
EU,Qwen,Mistral,-473.20807202973367,0.3461308245902577,-5248.65065245791,29.81373676901263
