industry,model1,model2,avg_covariance,median_covariance,min_covariance,max_covariance
tech,Claude,Cohere,273.4010799999999,15.522450000000063,-94.39749999999997,3461.0409999999993
tech,Claude,Deepseek,277.41515,30.659950000000393,-110.27034999999997,3480.9158499999994
tech,Claude,Doubao,325.2596333333333,54.75940000000002,-102.63864999999996,4048.56455
tech,Claude,GPT,292.329965,59.375039999999984,-8.32820499999999,3455.0153950000004
tech,Claude,Gemini,275.3165346666667,30.185940000000116,-109.57293999999997,3455.0153950000004
tech,Claude,Mistral,-521.4158139163413,13.093645934764208,-6678.677460799823,2901.2258845628958
tech,Claude,Qwen,-30.237946666666694,15.777259999999995,-900.3636700000003,251.56922999999983
tech,Cohere,Claude,273.4010799999999,15.522450000000063,-94.39749999999997,3461.0409999999993
tech,Cohere,Deepseek,503.0418666666666,103.315,0.075,4823.327499999999
tech,Cohere,Doubao,522.9277500000001,112.97,0.07499999999999979,5066.5775
tech,Cohere,GPT,478.94772333333333,99.23500000000001,-8.507500000000014,4789.7252499999995
tech,Cohere,Gemini,499.9687066666666,102.62900000000002,0.07624999999999993,4789.7252499999995
tech,Cohere,Mistral,-177.79598305288744,21.964745574733463,-7221.517376264887,4456.494200758149
tech,Cohere,Qwen,-132.1711783333334,15.701500000000003,-2456.8210000000004,327.5394999999999
tech,Deepseek,Claude,277.41515,30.659950000000393,-110.27034999999997,3480.9158499999994
tech,Deepseek,Cohere,503.0418666666666,103.315,0.075,4823.327499999999
tech,Deepseek,Doubao,527.9278666666667,112.024,0.12999999999999975,5073.229
tech,Deepseek,GPT,483.35410999999993,101.84155000000003,-16.091949999999994,4794.369599999999
tech,Deepseek,Gemini,507.3775466666666,115.63124999999997,0.13199999999999995,4794.369599999999
tech,Deepseek,Mistral,-178.22838532454742,28.122460785352846,-7177.569321964902,4459.234283141737
tech,Deepseek,Qwen,-126.62428666666666,20.94149999999999,-2464.4753499999997,337.68244999999996
tech,Doubao,Claude,325.2596333333333,54.75940000000002,-102.63864999999996,4048.56455
tech,Doubao,Cohere,522.9277500000001,112.97,0.07499999999999979,5066.5775
tech,Doubao,Deepseek,527.9278666666667,112.024,0.12999999999999975,5073.229
tech,Doubao,GPT,505.42115999999993,99.99200000000002,0.13224999999999987,5037.743549999999
tech,Doubao,Gemini,524.6615999999999,111.2909,0.13344999999999962,5037.743549999999
tech,Doubao,Mistral,-511.72881256610225,29.803113973193533,-8502.82697513418,4659.531970460056
tech,Doubao,Qwen,-127.19435666666672,20.285999999999998,-2484.8775500000006,322.03984999999994
tech,GPT,Claude,292.329965,59.375039999999984,-8.32820499999999,3455.0153950000004
tech,GPT,Cohere,478.94772333333333,99.23500000000001,-8.507500000000014,4789.7252499999995
tech,GPT,Deepseek,483.35410999999993,101.84155000000003,-16.091949999999994,4794.369599999999
tech,GPT,Doubao,505.42115999999993,99.99200000000002,0.13224999999999987,5037.743549999999
tech,GPT,Gemini,480.36604266666666,101.16188000000001,-16.155680000000018,4760.96192
tech,GPT,Mistral,-190.41760661930354,16.307018284241344,-7305.763404248562,4428.3981455359535
tech,GPT,Qwen,-140.97119933333337,4.838155000000001,-2447.871595,320.9334999999999
tech,Gemini,Claude,275.3165346666667,30.185940000000116,-109.57293999999997,3455.0153950000004
tech,Gemini,Cohere,499.9687066666666,102.62900000000002,0.07624999999999993,4789.7252499999995
tech,Gemini,Deepseek,507.3775466666666,115.63124999999997,0.13199999999999995,4794.369599999999
tech,Gemini,Doubao,524.6615999999999,111.2909,0.13344999999999962,5037.743549999999
tech,Gemini,GPT,480.36604266666666,101.16188000000001,-16.155680000000018,4760.96192
tech,Gemini,Mistral,-175.81916131900005,27.64584971760638,-7150.046895019636,4428.3981455359535
tech,Gemini,Qwen,-125.91459866666668,20.546924999999998,-2447.871595,336.0280650000001
tech,Mistral,Claude,-521.4158139163413,13.093645934764208,-6678.677460799823,2901.2258845628958
tech,Mistral,Cohere,-177.79598305288744,21.964745574733463,-7221.517376264887,4456.494200758149
tech,Mistral,Deepseek,-178.22838532454742,28.122460785352846,-7177.569321964902,4459.234283141737
tech,Mistral,Doubao,-511.72881256610225,29.803113973193533,-8502.82697513418,4659.531970460056
tech,Mistral,GPT,-190.41760661930354,16.307018284241344,-7305.763404248562,4428.3981455359535
tech,Mistral,Gemini,-175.81916131900005,27.64584971760638,-7150.046895019636,4428.3981455359535
tech,Mistral,Qwen,-593.3180657801912,7.190970530626689,-5248.65065245791,683.8746648252506
tech,Qwen,Claude,-30.237946666666694,15.777259999999995,-900.3636700000003,251.56922999999983
tech,Qwen,Cohere,-132.1711783333334,15.701500000000003,-2456.8210000000004,327.5394999999999
tech,Qwen,Deepseek,-126.62428666666666,20.94149999999999,-2464.4753499999997,337.68244999999996
tech,Qwen,Doubao,-127.19435666666672,20.285999999999998,-2484.8775500000006,322.03984999999994
tech,Qwen,GPT,-140.97119933333337,4.838155000000001,-2447.871595,320.9334999999999
tech,Qwen,Gemini,-125.91459866666668,20.546924999999998,-2447.871595,336.0280650000001
tech,Qwen,Mistral,-593.3180657801912,7.190970530626689,-5248.65065245791,683.8746648252506
