time,model1,model2,avg_covariance,median_covariance,min_covariance,max_covariance
weekly,Claude,Cohere,1466.8660590909094,3.114999999999998,-0.0052499999999998815,15902.837500000005
weekly,Claude,Deepseek,1557.2060181818194,3.3017499999999944,0.001499999999999859,16851.25400000001
weekly,Claude,Doubao,1546.3337000000006,3.551999999999998,0.01299999999999986,16738.300000000007
weekly,Claude,GPT,1557.3103731818194,3.289724999999999,0.003399999999999636,16855.471850000016
weekly,Claude,Gemini,1557.484103636365,3.2548749999999966,0.003399999999999636,16855.471850000016
weekly,Claude,Mistral,981.9805284363061,9.85920117429303,-180.59755378651832,10691.280856702477
weekly,Claude,Qwen,-483.0624086363638,0.6667599999999988,-5594.415750000002,152.51572499999992
weekly,Cohere,Claude,1466.8660590909094,3.114999999999998,-0.0052499999999998815,15902.837500000005
weekly,Cohere,Deepseek,1440.698681818182,3.682499999999999,0.1414999999999998,15516.325
weekly,Cohere,Doubao,1398.9172272727274,3.9000000000000004,0.14600000000000005,15077.5
weekly,Cohere,GPT,1440.7587136363647,3.62425,0.14425000000000035,15520.517500000013
weekly,Cohere,Gemini,1440.9780090909103,3.62425,0.14425000000000035,15520.517500000013
weekly,Cohere,Mistral,864.6385368405201,7.680243120128555,-423.6243314671166,9830.532592673753
weekly,Cohere,Qwen,-317.2168181818185,1.3485000000000005,-3823.250000000003,154.55624999999998
weekly,Deepseek,Claude,1557.2060181818194,3.3017499999999944,0.001499999999999859,16851.25400000001
weekly,Deepseek,Cohere,1440.698681818182,3.682499999999999,0.1414999999999998,15516.325
weekly,Deepseek,Doubao,1489.3545454545456,4.2219999999999995,0.20299999999999982,15973.400000000001
weekly,Deepseek,GPT,1536.9091818181835,3.89285,0.2010000000000003,16445.122300000017
weekly,Deepseek,Gemini,1537.2118590909108,3.8567499999999977,0.2010000000000003,16445.122300000017
weekly,Deepseek,Mistral,891.4045064352159,1.6819541368875872,-495.58120879158355,10416.375558111833
weekly,Deepseek,Qwen,-325.6131727272731,1.3485000000000005,-4049.7720000000036,182.85849999999988
weekly,Doubao,Claude,1546.3337000000006,3.551999999999998,0.01299999999999986,16738.300000000007
weekly,Doubao,Cohere,1398.9172272727274,3.9000000000000004,0.14600000000000005,15077.5
weekly,Doubao,Deepseek,1489.3545454545456,4.2219999999999995,0.20299999999999982,15973.400000000001
weekly,Doubao,GPT,1489.3358954545465,4.193400000000004,0.20750000000000055,15977.960000000014
weekly,Doubao,Gemini,1489.5882090909106,4.153500000000002,0.20750000000000055,15977.960000000014
weekly,Doubao,Mistral,883.4669262581051,1.240418770344239,-436.5912767696194,10122.12385408611
weekly,Doubao,Qwen,-329.6210681818185,1.1695000000000004,-4037.4000000000033,166.59074999999996
weekly,GPT,Claude,1557.3103731818194,3.289724999999999,0.003399999999999636,16855.471850000016
weekly,GPT,Cohere,1440.7587136363647,3.62425,0.14425000000000035,15520.517500000013
weekly,GPT,Deepseek,1536.9091818181835,3.89285,0.2010000000000003,16445.122300000017
weekly,GPT,Doubao,1489.3358954545465,4.193400000000004,0.20750000000000055,15977.960000000014
weekly,GPT,Gemini,1537.0851027272759,3.833150000000003,0.20515000000000097,16449.571970000034
weekly,GPT,Mistral,891.9204063804082,1.6870548722131022,-495.2024568522904,10419.19755569398
weekly,GPT,Qwen,-326.02101681818203,1.3227000000000013,-4048.382225000002,179.46150000000006
weekly,Gemini,Claude,1557.484103636365,3.2548749999999966,0.003399999999999636,16855.471850000016
weekly,Gemini,Cohere,1440.9780090909103,3.62425,0.14425000000000035,15520.517500000013
weekly,Gemini,Deepseek,1537.2118590909108,3.8567499999999977,0.2010000000000003,16445.122300000017
weekly,Gemini,Doubao,1489.5882090909106,4.153500000000002,0.20750000000000055,15977.960000000014
weekly,Gemini,GPT,1537.0851027272759,3.833150000000003,0.20515000000000097,16449.571970000034
weekly,Gemini,Mistral,891.5885830611113,1.737125631052741,-495.632896494488,10419.19755569398
weekly,Gemini,Qwen,-325.71573136363656,1.3817100000000009,-4048.382225000002,180.79200000000003
weekly,Mistral,Claude,981.9805284363061,9.85920117429303,-180.59755378651832,10691.280856702477
weekly,Mistral,Cohere,864.6385368405201,7.680243120128555,-423.6243314671166,9830.532592673753
weekly,Mistral,Deepseek,891.4045064352159,1.6819541368875872,-495.58120879158355,10416.375558111833
weekly,Mistral,Doubao,883.4669262581051,1.240418770344239,-436.5912767696194,10122.12385408611
weekly,Mistral,GPT,891.9204063804082,1.6870548722131022,-495.2024568522904,10419.19755569398
weekly,Mistral,Gemini,891.5885830611113,1.737125631052741,-495.632896494488,10419.19755569398
weekly,Mistral,Qwen,-286.9293598692489,0.5218447242210843,-2569.740008166855,86.83390329880544
weekly,Qwen,Claude,-483.0624086363638,0.6667599999999988,-5594.415750000002,152.51572499999992
weekly,Qwen,Cohere,-317.2168181818185,1.3485000000000005,-3823.250000000003,154.55624999999998
weekly,Qwen,Deepseek,-325.6131727272731,1.3485000000000005,-4049.7720000000036,182.85849999999988
weekly,Qwen,Doubao,-329.6210681818185,1.1695000000000004,-4037.4000000000033,166.59074999999996
weekly,Qwen,GPT,-326.02101681818203,1.3227000000000013,-4048.382225000002,179.46150000000006
weekly,Qwen,Gemini,-325.71573136363656,1.3817100000000009,-4048.382225000002,180.79200000000003
weekly,Qwen,Mistral,-286.9293598692489,0.5218447242210843,-2569.740008166855,86.83390329880544
