industry,model1,model2,avg_rcoeff,median_rcoeff,min_rcoeff,max_rcoeff
index,Claude,Cohere,0.538800990194124,0.7576695273067175,-0.7128187300296526,0.966688599264808
index,Claude,Deepseek,0.5411368740755993,0.7621196098844496,-0.7024144784261815,0.9644116453556336
index,Claude,Doubao,0.569735115128267,0.7871629729913344,-0.5483608065328134,0.9594295306381156
index,Claude,GPT,0.5462991962382064,0.7622757753936549,-0.765063939487285,0.9554179200428036
index,Claude,Gemini,0.5406204639614794,0.7622757753936549,-0.7060499083946891,0.9645066607874162
index,Claude,Mistral,0.2926033887653722,0.5415155595550262,-0.9308240246351565,0.9258651114552487
index,Claude,Qwen,0.2899257925980961,0.6227129164024565,-0.9474105010296898,0.9688201193787342
index,Cohere,Claude,0.538800990194124,0.7576695273067175,-0.7128187300296525,0.966688599264808
index,Cohere,Deepseek,0.9968108462060081,0.9992861816068118,0.985683555758621,0.999974017224596
index,Cohere,Doubao,0.9795979599744797,0.9953782678443321,0.8503802233191791,0.9997362624670412
index,Cohere,GPT,0.9888496028173147,0.9987408947098451,0.9393567101596108,0.9999827708149148
index,Cohere,Gemini,0.9968215049054019,0.9993012431217672,0.9864201892832062,0.9999827708149148
index,Cohere,Mistral,0.47156073727028697,0.9641360628776217,-0.9504944797445856,0.9999346200868252
index,Cohere,Qwen,0.6313290312756605,0.8225637463174228,-0.6484009751120355,0.9998332936026606
index,Deepseek,Claude,0.5411368740755993,0.7621196098844496,-0.7024144784261815,0.9644116453556338
index,Deepseek,Cohere,0.9968108462060081,0.9992861816068119,0.9856835557586212,0.999974017224596
index,Deepseek,Doubao,0.9703372083254763,0.996871081345163,0.7507344872348023,0.9990076963763964
index,Deepseek,GPT,0.9890546098953722,0.999244254444746,0.9368781778519522,0.9999997516420294
index,Deepseek,Gemini,0.9999354563223765,0.9999855252591521,0.9995645623548228,0.9999997516420294
index,Deepseek,Mistral,0.4823894810202458,0.9670299419992323,-0.9483117686448956,0.999990699334431
index,Deepseek,Qwen,0.6315252532570079,0.8131036759553003,-0.6482257947779724,0.9999833062519714
index,Doubao,Claude,0.569735115128267,0.7871629729913344,-0.5483608065328135,0.9594295306381156
index,Doubao,Cohere,0.9795979599744797,0.9953782678443321,0.8503802233191791,0.9997362624670412
index,Doubao,Deepseek,0.9703372083254763,0.996871081345163,0.7507344872348022,0.9990076963763962
index,Doubao,GPT,0.9700529780905098,0.9962853267542532,0.8276816456476548,0.9992373706069309
index,Doubao,Gemini,0.97076460399774,0.9974423827345837,0.7533280228227108,0.9989886256844832
index,Doubao,Mistral,0.44643294091455765,0.961296955765762,-0.9383386548066928,0.9982220660888552
index,Doubao,Qwen,0.6001381800763925,0.8141763270158968,-0.6638557207555611,0.9984305548834546
index,GPT,Claude,0.5462991962382064,0.7622757753936549,-0.765063939487285,0.9554179200428036
index,GPT,Cohere,0.9888496028173147,0.9987408947098451,0.9393567101596108,0.9999827708149148
index,GPT,Deepseek,0.9890546098953724,0.9992442544447462,0.9368781778519522,0.9999997516420294
index,GPT,Doubao,0.9700529780905098,0.9962853267542532,0.8276816456476548,0.9992373706069309
index,GPT,Gemini,0.9891440721657407,0.9991549037900651,0.9370361617410434,1.0
index,GPT,Mistral,0.4678736652682415,0.9347930760430118,-0.9472781588424788,0.9999912900464256
index,GPT,Qwen,0.6254229803659338,0.8108369518669172,-0.6478282143673935,0.9989447305878492
index,Gemini,Claude,0.5406204639614794,0.7622757753936549,-0.706049908394689,0.964506660787416
index,Gemini,Cohere,0.9968215049054019,0.9993012431217674,0.986420189283206,0.9999827708149148
index,Gemini,Deepseek,0.9999354563223765,0.9999855252591521,0.9995645623548228,0.9999997516420294
index,Gemini,Doubao,0.97076460399774,0.9974423827345837,0.7533280228227108,0.9989886256844832
index,Gemini,GPT,0.9891440721657407,0.9991549037900652,0.9370361617410434,1.0
index,Gemini,Mistral,0.4817568416585045,0.966471559857369,-0.9472781588424788,0.9999912900464256
index,Gemini,Qwen,0.6312356289225161,0.8108369518669172,-0.6478282143673935,1.0
index,Mistral,Claude,0.2926033887653722,0.5415155595550263,-0.9308240246351566,0.9258651114552486
index,Mistral,Cohere,0.4715607372702871,0.9641360628776217,-0.9504944797445852,0.9999346200868252
index,Mistral,Deepseek,0.4823894810202458,0.9670299419992323,-0.9483117686448956,0.999990699334431
index,Mistral,Doubao,0.44643294091455754,0.961296955765762,-0.938338654806693,0.9982220660888552
index,Mistral,GPT,0.46787366526824137,0.9347930760430117,-0.9472781588424788,0.9999912900464254
index,Mistral,Gemini,0.4817568416585045,0.966471559857369,-0.9472781588424788,0.9999912900464254
index,Mistral,Qwen,0.272955511686111,0.4135063005186338,-0.6724267157358916,0.979381442592442
index,Qwen,Claude,0.2899257925980961,0.6227129164024565,-0.94741050102969,0.968820119378734
index,Qwen,Cohere,0.6313290312756606,0.8225637463174228,-0.6484009751120355,0.9998332936026604
index,Qwen,Deepseek,0.6315252532570079,0.8131036759553003,-0.6482257947779724,0.9999833062519714
index,Qwen,Doubao,0.6001381800763925,0.8141763270158968,-0.6638557207555611,0.9984305548834546
index,Qwen,GPT,0.6254229803659338,0.8108369518669172,-0.6478282143673935,0.9989447305878494
index,Qwen,Gemini,0.6312356289225161,0.8108369518669172,-0.6478282143673935,1.0
index,Qwen,Mistral,0.272955511686111,0.4135063005186338,-0.6724267157358916,0.979381442592442
